央視頻道,#genre#
CCTV1 綜合,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8
CCTV1 綜合,http://tvpull.dxhmt.cn/tv/11481-3.m3u8
CCTV1 綜合,http://125.210.152.19:9120/live/hzgq-cctv1gq-h264.m3u8
CCTV1 綜合,http://cyz32.livehbindex.hbcatv.cn/live/50000020935c4d59965a1cbf159c9be9.m3u8?bitrate=2300&pt=5
CCTV1 綜合,http://221.213.43.82:8888/newlive/live/hls/2/live.m3u8
CCTV1 綜合,http://222.81.86.42:8060/hls/ch3/ch3.m3u8
CCTV1 綜合,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226638/1.m3u8
CCTV1 綜合,http://tvpull.dxhmt.cn/tv/11481-4.m3u8
CCTV1 綜合,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV1 綜合,http://61.160.152.68/live.aishang.ctlcdn.com/00000110240127_1/encoder/0/playlist.m3u8?CONTENTID=00000110240127_1&AUTHINFO=FABqh274XDn8fkurD5614vXukv%2Bllu6MCULXDoxJ6upZMyB3BTGL8Fz1cBrzuGpUOEVg8724ObgLgS2tj%2FSq8xWZ1p4rvSaCId2u7KLjn%2F46Kf00Xa0UUCbNAV9EWdHyJMhivxx1S8fcvB8Encq%2Br2%2FNnfOdizLLGdg97cAjQVBrJ5ycvSCIUdxWiGJJfFI3hgreSH2tPUplkub%2BeFttIQ%3D%3D&USERTOKEN=OcdSKDHIYJi7z1i4zpgoeOB0O2BhR0KR
CCTV1 綜合,http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxKmfj7o-Ch7YrHyxQ4jxs2s/ts
CCTV1 綜合,http://39.134.61.219/PLTV/88888888/224/3221227005/index.m3u8
CCTV1 綜合,http://ktwlplkf.f3322.org:9901/tsfile/live/0001_1.m3u8
CCTV1 綜合,rtmp://202.204.52.116:1935/livetv/cctv1hd
CCTV1 綜合,http://219.140.56.34:3333/tsfile/live/0001_1.m3u8
CCTV1 綜合,http://111.20.35.103:6610/yinhe/2/ch00000090990000001018/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV1 綜合,http://39.134.61.219/PLTV/88888888/224/3221226896/index.m3u8
CCTV1 綜合,http://39.134.61.219/PLTV/88888888/224/3221227090/index.m3u8
CCTV1 綜合,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226667/1.m3u8
CCTV1 綜合,http://183.63.15.42:9901/tsfile/live/0001_1.m3u8
CCTV1 綜合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV1 綜合,http://223.95.111.98:5555/newlive/live/hls/1/live.m3u8
CCTV1 綜合,http://a.xttv.top/xttv/27f43e697655f4d44c62d7f4d32fcctv.m3u8
CCTV1 綜合,http://220.178.228.153:1935/live/cctv1/playlist.m3u8
CCTV1 綜合,https://zb.pzhgd.com:444/live/cctv1.m3u8
CCTV1 綜合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV1 綜合,http://play.kankanlive.com/live/1661761962676984.flv
CCTV1 綜合,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226736/1.m3u8
CCTV1 綜合,http://111.20.35.103:6610/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV1 綜合,http://play.kankanlive.com/live/1661761962676984.m3u8
CCTV2 財經,http://39.134.61.219/PLTV/88888888/224/3221226929/index.m3u8
CCTV2 財經,http://221.213.43.82:8888/newlive/live/hls/3/live.m3u8
CCTV2 財經,http://125.210.152.19:9120/live/hzgq-cctv2gq-h264.m3u8
CCTV2 財經,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/001/2000203603.m3u8
CCTV2 財經,http://219.140.56.34:3333/tsfile/live/0002_1.m3u8
CCTV2 財經,http://223.95.111.98:5555/newlive/live/hls/2/live.m3u8
CCTV2 財經,http://111.20.35.103:6610/yinhe/2/ch00000090990000001021/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV2 財經,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000061
CCTV2 財經,http://111.20.35.103:6610/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV2 財經,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV2 財經,http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxNEPqrelFraDEoSoHLBBldo/ts
CCTV2 財經,http://lu1.cc/itv/php/gudou.php?id=cctv2hd
CCTV2 財經,http://cm.wshls.homecdn.com/live/11ecc.m3u8
CCTV2 財經,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV2 財經,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8
CCTV2 財經,http://39.134.61.219/PLTV/88888888/224/3221226843/index.m3u8
CCTV2 財經,http://61.160.152.68/live.aishang.ctlcdn.com/00000110240244_1/encoder/0/playlist.m3u8?CONTENTID=00000110240244_1&AUTHINFO=FABqh274XDn8fkurD5614vXukv%2Bllu6MCULXDoxJ6upZMyB3BTGL8Fz1cBrzuGpUOEVg8724ObgLgS2tj%2FSq8xWZ1p4rvSaCId2u7KLjn%2F46Kf00Xa0UUCbNAV9EWdHyJMhivxx1S8fcvB8Encq%2Br2%2FNnfOdizLLGdg97cAjQVBrJ5ycvSCIUdxWiGJJfFI3hgreSH2tPUplkub%2BeFttIQ%3D%3D&USERTOKEN=OcdSKDHIYJi7z1i4zpgoeOB0O2BhR0KR
CCTV2 財經,http://111.20.35.103:6610/yinhe/2/ch00000090990000001840/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV2 財經,http://cyz32.livehbindex.hbcatv.cn/live/50000020d7ae404dbd55b5d0ba6fe735.m3u8?bitrate=2300&pt=5
CCTV2 財經,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8
CCTV3 綜藝,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV3 綜藝,http://125.210.152.19:9120/live/hzgq-cctv3gq-h264.m3u8
CCTV3 綜藝,http://lu1.cc/itv/php/gudou.php?id=cctv3hd
CCTV3 綜藝,http://111.20.40.166/PLTV/88888893/224/3221226397/index.m3u8
CCTV3 綜藝,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/001/2000203803.m3u8
CCTV3 綜藝,http://223.95.111.98:5555/newlive/live/hls/3/live.m3u8
CCTV3 綜藝,http://219.140.56.34:3333/tsfile/live/0003_1.m3u8
CCTV3 綜藝,http://123.6.9.146/live/jz-cctv-3/live.m3u8
CCTV3 綜藝,http://zb.688768.xyz/jiudian/jddb.php?playurl=http://120.84.96.29:808/hls/3/index.m3u8
CCTV3 綜藝,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203803.m3u8
CCTV3 綜藝,http://39.134.61.219/PLTV/88888888/224/3221226889/index.m3u8
CCTV3 綜藝,http://111.20.35.103:6610/yinhe/2/ch00000090990000001009/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV3 綜藝,http://221.213.43.82:8888/newlive/live/hls/4/live.m3u8
