Youtube,#genre#
東森新聞,https://www.youtube.com/watch?v=S5WOGu2HSes
TVBS新聞,https://www.youtube.com/watch?v=m_dhMSvUCIc
中天新聞,https://www.youtube.com/watch?v=oIgbl7t0S_w
三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
公視新聞,https://www.youtube.com/watch?v=quwqlazU-c8

YT,#genre#
東森財經新聞,https://yt-stream.livednow.com/stream/WHEPzbFA3hw/master.m3u8
東森財經新聞,https://ytm2.yuanhsing.cf/EBCFinancial.m3u8
東森財經新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
東森財經新聞,https://yt-stream.livednow.com/stream/WHEPzbFA3hw/master.m3u8
公視新聞台,https://yt-stream.livednow.com/stream/quwqlazU-c8/master.m3u8
民視新聞台,https://yt-stream.livednow.com/stream/ylYJSBUgaMA/master.m3u8
民視新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
台視新聞台,https://yt-stream.livednow.com/stream/xL0ch83RAK8/master.m3u8
台視新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
中視新聞台,https://yt-stream.livednow.com/stream/TCnaIE_SAtM/master.m3u8
中視新聞台,https://ytm2.yuanhsing.cf/twctvnews.m3u8
華視新聞台,https://yt-stream.livednow.com/stream/wM0g8EoUZ_E/master.m3u8
TVBS NEWS,https://yt-stream.livednow.com/stream/m_dhMSvUCIc/master.m3u8
TVBS NEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV31.m3u8
三立新聞台,https://yt-stream.livednow.com/stream/oZdzzvxTfUY/master.m3u8
三立iNEWS,https://yt-stream.livednow.com/stream/CKjSm5ZeehE/master.m3u8
三立iNEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8
三立NEWS+,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
中天新聞,https://yt-stream.livednow.com/stream/oIgbl7t0S_w/master.m3u8
中天新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
中天新聞2,https://yt-stream.livednow.com/stream/WPfPjbOLNfE/master.m3u8
鏡新聞,https://ytm2.yuanhsing.cf/mnews.m3u8
鏡新聞,https://yt-stream.livednow.com/stream/5n0y6b0Q25o/master.m3u8
鏡新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
寰宇國際,https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8
寰宇新聞,https://yt-stream.livednow.com/stream/6IquAgfvYmc/master.m3u8
華視綜藝,https://ytm2.yuanhsing.cf/TBSCTSSHOW.m3u8
華視綜藝,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV26.m3u8
華視戲劇,https://ytm2.yuanhsing.cf/ctsprog.m3u8
華視戲劇,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8
民視戲劇,https://ytm2.yuanhsing.cf/FTVDRAMA.m3u8
民視戲劇,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV76.m3u8
八大電視,https://ytm2.yuanhsing.cf/GTVDRAMA.m3u8
新唐人亞太電視台,https://yt-stream.livednow.com/stream/WIhgU_mc05A/master.m3u8
幸福空間居家台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV41.m3u8
大愛一臺,https://yt-stream.livednow.com/stream/MIqUplvSRWA/master.m3u8
大愛一臺,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV30.m3u8
大愛二臺,https://yt-stream.livednow.com/stream/DTNkEm6jaqQ/master.m3u8
台視,rtmp://9sv2.mine.nu/sat/tv071
中視,rtmp://9sv2.mine.nu/sat/tv091
華視,rtmp://9sv2.mine.nu/sat/tv111
民視,rtmp://9sv2.mine.nu/sat/tv051
TVBS新聞,rtmp://9sv2.mine.nu/sat/tv551
東森財經新聞,rtmp://9sv2.mine.nu/sat/tv571
緯來育樂,rtmp://9sv2.mine.nu/sat/tv701
緯來體育,rtmp://9sv2.mine.nu/sat/tv721
MOMO綜合,rtmp://9sv2.mine.nu/sat/tv761
緯來日本,rtmp://9sv2.mine.nu/sat/tv771
ELEVEN 1,rtmp://9sv2.mine.nu/sat/tv731
ELEVEN 2,rtmp://9sv2.mine.nu/sat/tv741
ELTA體育4,rtmp://9sv2.mine.nu/sat/md041
ELTA體育3,rtmp://9sv2.mine.nu:1935/sat/md051
HKC18,rtmp://9sv2.mine.nu/sat/hk021
愛爾達體育1台,http://vp.ubvip1688.com:8080/vod/510FC806/main.m3u8
愛爾達體育2台,http://vp.ubvip1688.com:8080/vod/C8DAB756/main.m3u8
愛爾達體育3台,http://vp.ubvip1688.com:8080/vod/7B0F7DF8/main.m3u8
衛視電影,http://211.23.114.106:8525/http/116.50.42.19:8081/hls/64/806/ch16.m3u8
HBO,http://125.227.210.55:35210/VideoInput/play.ts
東森電影,http://gwtv.cnv8.tv:8097/ettvmovie/playlist.m3u8
東森洋片,http://gwtv.cnv8.tv:8097/ettvwestern/playlist.m3u8
天映頻道,http://210.210.155.35:80/dr9445/h/h14/02.m3u8

嗅探,#genre#
parse=1
台視,https://www.histar.tv/live/ttv
台視新聞,https://www.histar.tv/live/ttv-news
中視,https://www.histar.tv/live/ctv
中視新聞,https://www.histar.tv/live/ctv-news
華視,https://www.histar.tv/live/cts
華視新聞,https://www.histar.tv/live/cts-news
民視新聞,https://today.line.me/tw/v2/article/PNNoG5
